cat;sscat;subcat;SF;GROD;KAM;NB
85ZA36-c;Clinopyroxene;all;26.713;1.1806;2.4839;0.82728;32125
85ZA36-c;Spinelle;all;22.7281;1.1676;2.35;1.6592;4585
85ZA36-c;Pargasite2;all;20.5989;1.1552;0.86089;3.1073;24774
85ZA36-c;Anorthite;all;31.4447;1.2115;3.0702;1.6697;26335
85ZA38-c;Olivine;all;65.7782;1.2263;3.9249;1.3678;36626
85ZA38-c;Orthopyroxene;all;46.7226;1.1898;2.4897;1.3753;25984
85ZA38-c;Clinopyroxene;all;50.6881;1.1873;2.3369;1.0512;7829
85ZA38-c;Spinelle;all;38.2965;1.1618;0.95671;1.762;1922
85ZA38-c;Pargasite2;all;36.0555;1.1485;0.90311;4.7555;26600
85ZA38-c;Anorthite;all;47.0157;1.1909;2.2108;2.3195;9067
85ZA41-c;Olivine;all;53.32;1.2494;4.9913;0.66809;13439
85ZA41-c;Orthopyroxene;all;30.94;1.2143;2.2316;0.53569;15781
85ZA41-c;Clinopyroxene;all;21.1043;1.1708;1.3443;0.42084;9413
85ZA41-c;Spinelle;all;28.1218;1.1984;1.8091;0.55957;3121
85ZA41-c;Pargasite2;all;26.1861;1.2129;3.1736;2.4734;70069
85ZA41-c;Anorthite;all;19.3379;1.159;0.38436;1.4306;277
85ZA42B-c;Olivine;all;50.7768;1.2121;3.321;1.1699;533
85ZA42B-c;Orthopyroxene;all;56.2419;1.2171;2.8652;1.0041;10508
85ZA42B-c;Clinopyroxene;all;54.4668;1.1908;2.6865;0.98212;15255
85ZA42B-c;Spinelle;all;33.14;1.1476;0.34822;1.3573;260
85ZA42B-c;Pargasite2;all;37.5259;1.1777;1.3775;2.2545;28093
85ZA42B-c;Anorthite;all;33.8054;1.1549;0.42996;1.729;10808
85ZA43-c;Olivine;all;74.5677;1.2802;2.4497;0.53538;3395
85ZA43-c;Orthopyroxene;all;62.2032;1.2714;1.2424;0.50728;16278
85ZA43-c;Clinopyroxene;all;21.1535;1.163;0.11233;0.43201;6681
85ZA43-c;Spinelle;all;26.7543;1.1773;0.61024;0.86452;1305
85ZA43-c;Pargasite2;all;78.8936;1.2923;1.4991;0.46139;14840
85ZA43-c;Anorthite;all;20.6094;1.1376;0;NaN;3
85ZA43B-UMYL-CP-c;Olivine;all;8.5944;1.2857;1.6276;0.35118;21528
85ZA43B-UMYL-CP-c;Orthopyroxene;all;4.4895;1.2292;1.2526;0.57747;43770
85ZA43B-UMYL-CP-c;Clinopyroxene;all;2.237;1.1612;0.11678;0.47472;15032
85ZA43B-UMYL-CP-c;Spinelle;all;2.7996;1.1761;0.66956;0.8748;3744
85ZA43B-UMYL-CP-c;Pargasite;all;5.5615;1.2572;1.856;0.75284;18025
85ZA43B-UMYL-CP-c;Anorthite;all;3.3547;1.2074;0.71669;0.70087;1709
85ZA43B-c;Olivine;all;35.7821;1.2296;1.1242;0.96632;163760
85ZA43B-c;Orthopyroxene;all;24.1812;1.1779;0.62357;1.1313;71456
85ZA43B-c;Clinopyroxene;all;18.1431;1.1449;0.042734;0.75616;3868
85ZA43B-c;Spinelle;all;18.4082;1.1479;0.17384;1.2931;4158
85ZA43B-c;Pargasite2;all;28.3909;1.1906;1.0997;1.288;117892
85ZA43B-c;Anorthite;all;19.4187;1.1574;0.32329;1.378;913
85ZA45-MICROZ1-c;Olivine;all;22.3454;1.2941;1.5204;0.3414;10903
85ZA45-MICROZ1-c;Orthopyroxene;all;10.7061;1.225;1.9475;0.34257;9090
85ZA45-MICROZ1-c;Clinopyroxene;all;6.0444;1.162;0.95716;0.26429;3867
85ZA45-MICROZ1-c;Spinelle;all;9.7641;1.1957;0.60461;0.42128;608
85ZA45-MICROZ1-c;Anorthite;all;9.5875;1.1928;0.27276;0.30643;68
85ZA45-MICROZ2-c;Olivine;all;17.6463;1.277;1.3859;0.39746;14829
85ZA45-MICROZ2-c;Orthopyroxene;all;9.9767;1.2163;0.78683;0.41294;12677
85ZA45-MICROZ2-c;Clinopyroxene;all;5.7219;1.1581;1.9082;0.24639;4458
85ZA45-MICROZ2-c;Spinelle;all;10.989;1.2208;2.0487;0.34696;2660
85ZA45-MICROZ2-c;Anorthite;all;10.7471;1.2208;0.73765;0.46943;2221
85ZA45-MICROZ2-c;Hornblende;all;11.9428;1.2414;1.2653;0.67336;20039
85ZA45-MICROZ2-c;Antigorite2;all;4.8037;1.154;8.7225e-07;NaN;57
85ZA45-MICROZ3-c;Olivine;all;20.8473;1.2935;2.4323;0.45753;17564
85ZA45-MICROZ3-c;Orthopyroxene;all;11.1449;1.227;3.9188;0.36114;15626
85ZA45-MICROZ3-c;Clinopyroxene;all;5.5942;1.1577;1.0694;0.26865;4420
85ZA45-MICROZ3-c;Spinelle;all;10.8848;1.2178;1.8711;0.43146;1721
85ZA45-MICROZ3-c;Anorthite;all;9.563;1.2027;0.65886;0.45001;726
85ZA45-MICROZ3-c;Hornblende;all;11.0843;1.2403;1.4974;0.82756;17297
85ZA45-MICROZ3-c;Antigorite2;all;4.8284;1.1439;4.9315e-07;NaN;38
85ZA48-DETAIL-c;Olivine;all;15.7048;1.2757;2.0812;0.64749;109312
