cat;sscat;subcat;J;BA;BC;AC;nb
85ZA31B-UMYL-CP-c;Olivine;all;2.5873;0.57613;0.50682;0.43068;4380
85ZA31B-UMYL-CP-c;Olivine;neo;2.7511;0.57097;0.51652;0.44555;3007
85ZA31B-UMYL-CP-c;Olivine;porph;3.0479;0.58507;0.4875;0.40243;1373
85ZA31B-UMYL-CP-c;Orthopyroxene;all;1.4154;0.40544;0.3556;0.45016;3994
85ZA31B-UMYL-CP-c;Orthopyroxene;neo;1.5875;0.44578;0.46969;0.5239;2970
85ZA31B-UMYL-CP-c;Orthopyroxene;porph;2.0059;0.40603;0.37123;0.4652;1024
85ZA31B-UMYL-CP-c;Clinopyroxene;all;6.8165;0.47683;0.6126;0.63576;691
85ZA31B-UMYL-CP-c;Clinopyroxene;neo;6.8228;0.47011;0.60901;0.6389;566
85ZA31B-UMYL-CP-c;Clinopyroxene;porph;14.4731;0.51604;0.63584;0.6198;125
85ZA31C-c;Olivine;all;2.7218;0.56517;0.40401;0.33885;5180
85ZA31C-c;Olivine;neo;1.6482;0.41456;0.42821;0.51366;735
85ZA31C-c;Olivine;porph;2.7692;0.59186;0.41095;0.3191;4445
85ZA31C-c;Orthopyroxene;all;1.5168;0.43045;0.69829;0.76784;2561
85ZA31C-c;Orthopyroxene;neo;1.6114;0.5108;0.78999;0.7792;785
85ZA31C-c;Orthopyroxene;porph;1.6121;0.36569;0.61432;0.74863;1776
85ZA31C-c;Clinopyroxene;all;8.6096;0.32009;0.38418;0.56409;1076
85ZA31C-c;Clinopyroxene;neo;3.9186;0.24938;0.30518;0.5558;382
85ZA31C-c;Clinopyroxene;porph;9.4798;0.37878;0.50798;0.6292;694
85ZA36-c;Olivine;all;2.0396;0.37017;0.53393;0.66377;16695
85ZA36-c;Olivine;neo;1.2758;0.31745;0.50336;0.68591;8638
85ZA36-c;Olivine;porph;2.2966;0.4186;0.56161;0.64301;8057
85ZA36-c;Orthopyroxene;all;3.752;0.34084;0.28126;0.44042;9876
85ZA36-c;Orthopyroxene;neo;2.5391;0.39122;0.28909;0.39788;5046
85ZA36-c;Orthopyroxene;porph;4.2946;0.63136;0.62943;0.49807;4830
85ZA36-c;Clinopyroxene;all;3.6107;0.45427;0.75534;0.80107;4124
85ZA36-c;Clinopyroxene;neo;2.514;0.42638;0.64364;0.71725;2599
85ZA36-c;Clinopyroxene;porph;4.5019;0.63955;0.68702;0.54747;1525
85ZA38-c;Olivine;all;2.0649;0.47202;0.55574;0.58372;10252
85ZA38-c;Olivine;neo;1.2816;0.40516;0.52676;0.62161;5324
85ZA38-c;Olivine;porph;2.2963;0.5279;0.58087;0.55297;4928
85ZA38-c;Orthopyroxene;all;2.1731;0.63885;0.50432;0.36546;3399
85ZA38-c;Orthopyroxene;neo;1.314;0.42616;0.26135;0.33519;1589
85ZA38-c;Orthopyroxene;porph;2.6626;0.60105;0.64751;0.54646;1810
85ZA38-c;Clinopyroxene;all;5.474;0.35297;0.51013;0.65717;1209
85ZA38-c;Clinopyroxene;neo;2.4086;0.5641;0.59311;0.52901;646
85ZA38-c;Clinopyroxene;porph;7.1857;0.33646;0.57612;0.73966;563
85ZA41-c;Olivine;all;2.7167;0.73862;0.87059;0.63198;4160
85ZA41-c;Olivine;neo;1.486;0.72504;0.84179;0.61675;2406
85ZA41-c;Olivine;porph;2.8028;0.7492;0.80101;0.55182;1754
85ZA41-c;Orthopyroxene;all;3.8507;0.77582;0.41048;0.13467;2598
85ZA41-c;Orthopyroxene;neo;3.1843;0.71605;0.39735;0.1813;1685
85ZA41-c;Orthopyroxene;porph;4.3724;0.63726;0.85763;0.72037;913
85ZA41-c;Clinopyroxene;all;9.3013;0.39212;0.28166;0.38954;622
85ZA41-c;Clinopyroxene;neo;11.6647;0.41668;0.30363;0.38696;549
85ZA41-c;Clinopyroxene;porph;14.3733;0.36597;0.51096;0.64499;73
85ZA42B-c;Olivine;all;47.024;0.50565;0.49725;0.4916;85
85ZA42B-c;Olivine;neo;41.03;0.51447;0.50308;0.48861;33
85ZA42B-c;Olivine;porph;48.477;0.49648;0.48867;0.49219;52
85ZA42B-c;Orthopyroxene;all;2.0108;0.56022;0.40148;0.34126;1578
85ZA42B-c;Orthopyroxene;neo;3.5175;0.62772;0.40995;0.28223;686
85ZA42B-c;Orthopyroxene;porph;2.0652;0.5067;0.39923;0.39252;892
85ZA42B-c;Clinopyroxene;all;3.4593;0.53334;0.51014;0.47681;1816
85ZA42B-c;Clinopyroxene;neo;2.7393;0.44345;0.31358;0.37013;991
85ZA42B-c;Clinopyroxene;porph;3.5736;0.53197;0.64018;0.60821;825
85ZA43-c;Olivine;all;2.238;0.51566;0.69125;0.67559;1855
85ZA43-c;Olivine;neo;1.6984;0.46266;0.6306;0.66794;1412
85ZA43-c;Olivine;porph;3.7372;0.70531;0.81987;0.61456;443
85ZA43-c;Orthopyroxene;all;1.2249;0.55404;0.52297;0.46893;7695
85ZA43-c;Orthopyroxene;neo;1.1466;0.5797;0.47015;0.39045;6304
85ZA43-c;Orthopyroxene;porph;1.706;0.62806;0.70664;0.57858;1391
85ZA43-c;Clinopyroxene;all;13.2766;0.6576;0.58558;0.42799;243
85ZA43-c;Clinopyroxene;neo;13.477;0.6688;0.60191;0.43311;234
85ZA43-c;Clinopyroxene;porph;48.7549;0.408;0.23601;0.32801;9
85ZA43B-UMYL-CP-c;Olivine;all;1.226;0.50056;0.80116;0.8006;10254
85ZA43B-UMYL-CP-c;Olivine;neo;1.3079;0.49584;0.78444;0.7886;7406
85ZA43B-UMYL-CP-c;Olivine;porph;1.3691;0.53597;0.83645;0.80048;2848
85ZA43B-UMYL-CP-c;Orthopyroxene;all;1.5756;0.5081;0.76422;0.75612;11955
85ZA43B-UMYL-CP-c;Orthopyroxene;neo;1.5975;0.502;0.76299;0.76098;8804
85ZA43B-UMYL-CP-c;Orthopyroxene;porph;1.8361;0.51062;0.68121;0.67058;3151
85ZA43B-UMYL-CP-c;Clinopyroxene;all;10.2369;0.41653;0.49686;0.58033;501
85ZA43B-UMYL-CP-c;Clinopyroxene;neo;10.3294;0.41841;0.49912;0.58071;486
85ZA43B-UMYL-CP-c;Clinopyroxene;porph;26.5745;0.54528;0.62761;0.58232;15
85ZA43B-c;Olivine;all;1.1208;0.57847;0.83091;0.75243;53802
85ZA43B-c;Olivine;neo;1.1369;0.67662;0.92768;0.75106;34981
85ZA43B-c;Olivine;porph;1.1728;0.52559;0.66238;0.63679;18821
85ZA43B-c;Orthopyroxene;all;1.5692;0.5007;0.81926;0.81856;9184
85ZA43B-c;Orthopyroxene;neo;1.5295;0.49036;0.8031;0.81274;6953
85ZA43B-c;Orthopyroxene;porph;1.7671;0.48945;0.81657;0.82712;2231
85ZA43B-c;Clinopyroxene;all;31.4972;0.46307;0.35763;0.39456;14
85ZA43B-c;Clinopyroxene;neo;30.305;0.45774;0.45617;0.49843;12
85ZA43B-c;Clinopyroxene;porph;136.7085;0.53011;0.60801;0.57791;2
85ZA45-MICROZ1-c;Olivine;all;1.4333;0.41886;0.2811;0.36224;6306
85ZA45-MICROZ1-c;Olivine;neo;1.411;0.43685;0.2896;0.35274;4760
85ZA45-MICROZ1-c;Olivine;porph;1.8558;0.37651;0.25477;0.37826;1546
85ZA45-MICROZ1-c;Orthopyroxene;all;15.918;0.36573;0.15272;0.28698;2567
85ZA45-MICROZ1-c;Orthopyroxene;neo;4.139;0.36137;0.15517;0.2938;2271
85ZA45-MICROZ1-c;Orthopyroxene;porph;49.9433;0.44659;0.42483;0.47824;296
85ZA45-MICROZ1-c;Clinopyroxene;all;68.4596;0.53566;0.4214;0.38575;196
85ZA45-MICROZ1-c;Clinopyroxene;neo;13.4435;0.55151;0.43619;0.38468;193
85ZA45-MICROZ1-c;Clinopyroxene;porph;137.1505;0.38425;0.40777;0.52352;3
85ZA45-MICROZ2-c;Olivine;all;1.298;0.45662;0.46731;0.51068;7534
85ZA45-MICROZ2-c;Olivine;neo;1.2452;0.44462;0.41679;0.47217;5730
85ZA45-MICROZ2-c;Olivine;porph;1.8564;0.5114;0.59141;0.58002;1804
85ZA45-MICROZ2-c;Orthopyroxene;all;8.6485;0.35565;0.11692;0.26127;3366
85ZA45-MICROZ2-c;Orthopyroxene;neo;1.2117;0.44947;0.17756;0.2281;2913
85ZA45-MICROZ2-c;Orthopyroxene;porph;35.3397;0.70487;0.49441;0.28954;453
85ZA45-MICROZ2-c;Clinopyroxene;all;117.0195;0.6038;0.50227;0.39847;132
